;Seguimiento dia a dia;;;;;;;;;;
;;;;<Resumen de mis finanzas;;;;;;;
;;;;;;;;;;;
;Fecha;Descripci—n;Cantidad;Tipo ;Slicer to filter table data by Account type is in this cell.;;;;;;
;31/03/2023;  ejemplo ;500,00; Ingreso ;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;Slicer to filter table data by Description is in this cell.;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
